,Recall@1,AuPR,auSC,AuROC
oxford_evaluation,92.48358268664185,99.09881781758854,1.1295798128925723,90.25306425576044
business_evaluation,80.13383101478783,96.39604906091665,5.143300986227997,86.39324997762405
residential_evaluation,78.69189189189187,93.79794624542421,7.5412277779322645,81.65646121975071
university_evaluation,84.66117216117216,96.55569610498598,4.199338634138907,84.32443753757212
